GRID_ID,CATEGORIA,ANO,MES,CRIMES,HISTORICO_1,PREVISAO_IA
6gut89,motorista,2023.0,4.0,1,0.0,1.09
6gut89,motorista,2024.0,4.0,1,1.0,1.6
6gut8k,motorista,2023.0,1.0,1,0.0,1.98
6gut8t,motorista,2024.0,1.0,1,0.0,1.98
6gutd6,motorista,2023.0,4.0,1,0.0,1.09
6gutv6,motorista,2023.0,5.0,1,0.0,1.1
6gutwm,motorista,2023.0,1.0,1,0.0,1.98
6gutwr,motorista,2023.0,8.0,1,0.0,0.99
6gutwt,motorista,2023.0,4.0,1,0.0,1.09
6gutwv,motorista,2023.0,1.0,1,0.0,1.98
6gutwv,motorista,2024.0,5.0,1,1.0,1.61
6gutww,motorista,2023.0,6.0,1,0.0,1.07
6gutww,motorista,2023.0,12.0,1,1.0,1.11
6gutwx,motorista,2024.0,6.0,1,0.0,1.07
6gutwz,motorista,2023.0,5.0,1,0.0,1.1
6guty8,motorista,2023.0,6.0,2,0.0,1.07
6gutyb,motorista,2024.0,4.0,1,0.0,1.09
6gutyc,motorista,2023.0,4.0,1,0.0,1.09
6gutyf,motorista,2023.0,6.0,1,0.0,1.07
6guuh1,motorista,2024.0,5.0,2,0.0,1.1
6guuh4,motorista,2023.0,6.0,1,0.0,1.07
6guuhq,motorista,2024.0,1.0,1,0.0,1.98
6guv46,motorista,2023.0,4.0,1,0.0,1.09
6guvjs,motorista,2023.0,1.0,1,0.0,1.98
6guvjs,motorista,2024.0,4.0,1,1.0,1.6
6guvjs,motorista,2024.0,6.0,1,1.0,1.57
6guvz6,motorista,2023.0,4.0,1,0.0,1.09
6guvzd,motorista,2024.0,4.0,1,0.0,1.09
6guyg5,motorista,2024.0,4.0,1,0.0,1.09
6guygh,motorista,2024.0,1.0,1,0.0,1.98
6guynv,motorista,2023.0,6.0,1,0.0,1.07
6guyny,motorista,2023.0,5.0,1,0.0,1.1
6guypb,motorista,2024.0,6.0,1,0.0,1.07
6guypc,motorista,2023.0,5.0,1,0.0,1.1
6guyxd,motorista,2023.0,4.0,1,0.0,1.09
6guyxe,motorista,2023.0,1.0,1,0.0,1.98
6guyxe,motorista,2023.0,5.0,1,1.0,1.61
6guyxe,motorista,2024.0,6.0,1,1.0,1.57
6gv01z,motorista,2023.0,2.0,1,0.0,1.23
6gv03b,motorista,2023.0,6.0,1,0.0,1.07
6gv03b,pedestre,2024.0,3.0,1,0.0,1.17
6gv0pe,motorista,2024.0,5.0,1,0.0,1.1
6gv2w5,motorista,2023.0,1.0,1,0.0,1.98
6gv2w5,motorista,2023.0,6.0,1,1.0,1.57
6gv2w5,motorista,2024.0,4.0,1,1.0,1.6
6gv2w5,motorista,2024.0,5.0,1,1.0,1.61
6gv2w5,motorista,2024.0,6.0,1,1.0,1.57
6gv2w7,motorista,2024.0,1.0,1,0.0,1.98
6gv305,motorista,2023.0,5.0,1,0.0,1.1
6gv4ep,motorista,2024.0,5.0,1,0.0,1.1
6gv4fb,motorista,2023.0,1.0,1,0.0,1.98
6gv4fb,motorista,2023.0,2.0,1,1.0,1.68
6gv4fb,motorista,2023.0,5.0,1,1.0,1.61
6gv4fb,motorista,2024.0,1.0,1,1.0,2.33
6gv4fb,motorista,2024.0,2.0,1,1.0,1.68
6gv4xv,motorista,2023.0,3.0,1,0.0,1.17
6gv5sv,motorista,2024.0,1.0,1,0.0,1.98
6gv5tn,motorista,2024.0,3.0,1,0.0,1.17
6gv6gp,motorista,2024.0,3.0,1,0.0,1.17
6gv9bc,motorista,2024.0,2.0,2,0.0,1.23
6gvb5g,motorista,2024.0,6.0,1,0.0,1.07
6gvb5s,motorista,2024.0,5.0,1,0.0,1.1
6gvb5t,motorista,2024.0,4.0,1,0.0,1.09
6gvb5u,motorista,2023.0,1.0,2,0.0,1.98
6gvb5u,motorista,2023.0,2.0,2,2.0,2.23
6gvb5u,motorista,2023.0,4.0,1,2.0,2.13
6gvb5u,motorista,2024.0,2.0,1,1.0,1.68
6gvb5u,motorista,2024.0,5.0,1,1.0,1.61
6gvb5u,motorista,2024.0,6.0,2,1.0,1.57
6gvb5v,motorista,2024.0,1.0,1,0.0,1.98
6gvb5v,motorista,2024.0,6.0,1,1.0,1.57
6gvb5y,motorista,2024.0,5.0,1,0.0,1.1
6gvbhr,motorista,2023.0,6.0,1,0.0,1.07
6gvc91,motorista,2023.0,2.0,1,0.0,1.23
6gvc9e,motorista,2023.0,12.0,1,0.0,1.02
6gvc9v,motorista,2023.0,1.0,1,0.0,1.98
6gvc9v,motorista,2024.0,5.0,1,1.0,1.61
6gvcc4,motorista,2024.0,6.0,1,0.0,1.07
6gvccf,motorista,2023.0,3.0,1,0.0,1.17
6gvccf,motorista,2023.0,4.0,1,1.0,1.6
6gvcdj,motorista,2023.0,1.0,1,0.0,1.98
6gvcdm,motorista,2023.0,2.0,1,0.0,1.23
6gvcdm,motorista,2023.0,3.0,1,1.0,1.69
6gvcdn,motorista,2024.0,6.0,1,0.0,1.07
6gvcdp,motorista,2024.0,6.0,1,0.0,1.07
6gvcdq,motorista,2016.0,2.0,1,0.0,1.23
6gvcdq,motorista,2023.0,2.0,1,1.0,1.68
6gvcdq,motorista,2023.0,4.0,1,1.0,1.6
6gvcdq,motorista,2024.0,3.0,1,1.0,1.69
6gvcdr,motorista,2024.0,1.0,1,0.0,1.98
6gvcdr,motorista,2024.0,6.0,1,1.0,1.57
6gvcdz,motorista,2024.0,3.0,1,0.0,1.17
6gvcf0,motorista,2023.0,5.0,1,0.0,1.1
6gvcf1,motorista,2023.0,1.0,1,0.0,1.98
6gvcf1,motorista,2023.0,12.0,1,1.0,1.11
6gvcf1,motorista,2024.0,5.0,3,1.0,1.61
6gvcf4,motorista,2024.0,2.0,1,0.0,1.23
6gvcf5,motorista,2024.0,5.0,1,0.0,1.1
6gvcf6,motorista,2023.0,2.0,1,0.0,1.23
6gvcf6,motorista,2023.0,3.0,1,1.0,1.69
6gvcf7,motorista,2023.0,5.0,1,0.0,1.1
6gvcf8,motorista,2024.0,4.0,1,0.0,1.09
6gvcf9,motorista,2023.0,1.0,1,0.0,1.98
6gvcf9,motorista,2023.0,2.0,2,1.0,1.68
6gvcf9,motorista,2024.0,1.0,3,2.0,2.27
6gvcf9,motorista,2024.0,2.0,1,3.0,2.81
6gvcf9,motorista,2024.0,3.0,1,1.0,1.69
6gvcf9,motorista,2024.0,4.0,1,1.0,1.6
6gvcfb,motorista,2024.0,6.0,2,0.0,1.07
6gvcfc,motorista,2023.0,2.0,1,0.0,1.23
6gvcfc,motorista,2023.0,4.0,1,1.0,1.6
6gvcfc,motorista,2024.0,1.0,2,1.0,2.33
6gvcfc,motorista,2024.0,2.0,1,2.0,2.23
6gvcfc,motorista,2024.0,6.0,1,1.0,1.57
6gvcfd,motorista,2023.0,2.0,1,0.0,1.23
6gvcfd,motorista,2023.0,3.0,1,1.0,1.69
6gvcfd,motorista,2023.0,4.0,3,1.0,1.6
6gvcfd,motorista,2024.0,5.0,1,3.0,2.81
6gvcfe,motorista,2023.0,2.0,1,0.0,1.23
6gvcfe,motorista,2023.0,4.0,1,1.0,1.6
